Producto,Categoria Nueva,Nombre Nuevo (dejar vacio si no cambia)
"1"" Circle Lined Elbow",CIRCLELINED PRODUCTS,
"1"" Circle Lined KD Pipe",CIRCLELINED PRODUCTS,
"1"" Circle Lined WYE",CIRCLELINED PRODUCTS,
"1"" Circle Liner",CIRCLELINED PRODUCTS,
"1"" Circle Liner Spiral Pipe 10'",CIRCLELINED PRODUCTS,
Angle Iron,MISCELLANEOUS,
Bare Aluminum Flex,ROUND DUCT,
Boot Box,RESIDENTIAL FITTINGS,
Ceiling Box,RESIDENTIAL FITTINGS,
China Cap,RESIDENTIAL FITTINGS,
Combustion Vent Cap,VENTING,
Conductor Pipe,ROUND DUCT,
Cone Boot,RESIDENTIAL FITTINGS,
Dove Tail Collar,FITTINGS,
Drain Pan,RESIDENTIAL FITTINGS,
Drive,MISCELLANEOUS,
Duct Board Collar,RESIDENTIAL FITTINGS,
Duct Liner/Wrap,MISCELLANEOUS,
Duct Ties,MISCELLANEOUS,
Duct/Foil Tapes,MISCELLANEOUS,
Elbow 45˚,RESIDENTIAL FITTINGS,
Elbow 90˚,RESIDENTIAL FITTINGS,
End Cap,FITTINGS,
Flashing,RESIDENTIAL FITTINGS,
Flat Stock,MISCELLANEOUS,
Flex Connector,FLEX CONNECTOR,
Furnace Stand,RESIDENTIAL FITTINGS,
Hanger Strap,MISCELLANEOUS,
KD Pipe,ROUND DUCT,
Line Set Cover,MISCELLANEOUS,
MEZ FLANGE and ACCESORIES,MISCELLANEOUS,
PG,MISCELLANEOUS,
Pancake Taper (Cookie Cutter),FITTINGS,
Plenum,RESIDENTIAL FITTINGS,
Reducer Sure Fit,FITTINGS,
Register Box,RESIDENTIAL FITTINGS,
Return Air Can,RESIDENTIAL FITTINGS,
Riser Elbow 45˚ (flat),RESIDENTIAL FITTINGS,
Riser Elbow 45˚ (standard),RESIDENTIAL FITTINGS,
Riser Elbow 90˚ (flat),RESIDENTIAL FITTINGS,
Riser Elbow 90˚ (standard),RESIDENTIAL FITTINGS,
Riser End Cap,RESIDENTIAL FITTINGS,
Riser Pipe,RESIDENTIAL FITTINGS,
Saddle Wye,FITTINGS,
Sealers & Adhesives,MISCELLANEOUS,
Side Tab,RESIDENTIAL FITTINGS,
Spiral Pipe 10',ROUND DUCT,
"Spiral Pipe 7' 5""",ROUND DUCT,
Stack Head Boot Box,RESIDENTIAL FITTINGS,
Standing 'S',MISCELLANEOUS,
Straight Boot Box,RESIDENTIAL FITTINGS,
Swamp Cooler Diffuser,VENTING,
T-Top,RESIDENTIAL FITTINGS,
Tee Wye,FITTINGS,
Turning Vanes,MISCELLANEOUS,
Twist Collar w/Damper,RESIDENTIAL FITTINGS,
Twist Collar w/Damper & Scoop,FITTINGS,
Twist Collar/Spin-In Collar,FITTINGS,
"Volume Damper w/ 3/8 Rod & 1 1/2"" Stand off",FITTINGS,
Wall Cap,RESIDENTIAL FITTINGS,
Wrapped Aluminum Flex w/ Metalized Jacket R-6,ROUND DUCT,
Wrapped Aluminum Flex w/ Metalized Jacket R-8,ROUND DUCT,
S'-Cleat/Flat 'S',MISCELLANEOUS,
