"Title","Description","Image","ID","Created Date","Updated Date","Owner","Multi-Reference","Product Categories (Item)","Publish Date","Unpublish Date","Status"
"Sealants & Tapes",,,"01763a64-ba0c-4a80-ac80-cab6c3d0e426",2025-11-30T03:52:23Z,2025-11-30T04:06:10Z,"9af21d4e-2c70-4ca7-ba14-ceb25a4ffc80","[""d425a64a-fe47-438a-87d9-b7655069c125"",""eb6afabd-560a-480c-804e-a7e90aad3053""]","/product-categories/sealants-%26-tapes",2025-11-30T03:50:38Z,,"PUBLISHED"
"Equipment & Accessories",,,"0ebcc58d-5925-4824-a8c7-7d0c87abb6da",2025-11-30T03:51:29Z,2025-11-30T04:06:10Z,"9af21d4e-2c70-4ca7-ba14-ceb25a4ffc80","[""2c853c20-e554-4e40-9fb1-93456201698c"",""4d2b7397-1f26-4af6-9f4c-6915acd0b701"",""97a362ae-16de-4b46-b52b-bb543d88e78f"",""f1697b1b-ec9e-45dd-8da6-f747fba3ba7e"",""f4d8eeab-dddd-40f0-81c1-2e8f08140117""]","/product-categories/equipment-%26-accessories",2025-11-30T03:50:38Z,,"PUBLISHED"
"Elbows & Fittings",,,"3657abb4-bd68-4e1d-8c17-86ad7773ead4",2025-11-30T03:50:39Z,2025-11-30T04:06:10Z,"9af21d4e-2c70-4ca7-ba14-ceb25a4ffc80","[""d3d7aabb-2429-4c6d-ab3c-63c11c89b66b"",""028176f5-d47e-4f9e-8d1c-273c16348fe2"",""f63dca81-d765-4396-a496-97521640955d"",""61293f0f-9b86-4069-80be-b7621637c78a"",""29c26927-e0b6-4a78-93b4-e6f78e8a694b"",""65299027-974b-4bd3-b89d-65d824ba66c2"",""7ef5f423-9243-4404-b001-fced162c3644"",""ad677a60-d12a-42d0-82b7-37fb78c9ff06"",""dadd32d2-bb43-48a9-a7c6-4673138f5370"",""f2e1b1d7-2cdb-4450-a837-96073741188d""]","/product-categories/elbows-%26-fittings",2025-11-30T03:50:38Z,,"PUBLISHED"
"Reducers & Collars",,,"4a837012-97fb-4d8e-8e32-719924f903a9",2025-11-30T03:51:37Z,2025-11-30T04:06:10Z,"9af21d4e-2c70-4ca7-ba14-ceb25a4ffc80","[""301caa5f-a0a4-4f68-b880-9f60c0eb8e8e"",""3df1cd56-a6ce-4a6c-a136-16f0ab189eec"",""4eed6de3-2976-4e34-824c-3e5c797b193f"",""4fb1dc79-37b7-49df-a986-9e4a773ae942"",""7d3a0a7f-3afd-4099-9d04-f43387d9d3c2"",""a14a6503-d5da-4a0b-b442-58559f72efe3"",""a6851270-a971-48c3-b357-336385d043ad""]","/product-categories/reducers-%26-collars",2025-11-30T03:50:38Z,,"PUBLISHED"
"Round Duct",,,"5715b66e-0850-4710-8212-116d8b5c05dd",2025-11-30T03:52:11Z,2025-11-30T04:06:10Z,"9af21d4e-2c70-4ca7-ba14-ceb25a4ffc80","[""6205678e-93f4-429d-9123-e51eb3af4c27"",""66f68063-14a4-4b7b-916b-6e264504a35b"",""6c204425-29a0-4112-8522-3d7e50ebc4cd"",""8a13deb2-5b63-4822-96a6-e2be15b99532"",""c2873fd7-dd07-460a-baa9-6566972e2eb2""]","/product-categories/round-duct",2025-11-30T03:50:38Z,,"PUBLISHED"
"Boot Boxes & Transitions",,,"66bc596e-6594-46ec-873b-fbb6f227aba1",2025-11-30T03:51:24Z,2025-11-30T04:06:10Z,"9af21d4e-2c70-4ca7-ba14-ceb25a4ffc80","[""06fa2d51-b779-4c23-9bb0-e74793e1fc6b"",""0b6e3a1d-75dc-4b9e-9984-112708c2d64b"",""303c640b-d74f-4807-9b19-789a7dfe62c7"",""5ce57ec2-0972-494f-b3a2-5821e3548aeb"",""9a7db232-494b-4a14-b7f7-1d2a8423a2e0"",""c70b8647-180f-47f3-b7ba-12b6eada5686"",""dc71a905-50cc-4475-942c-41a8e8d7412f"",""f0dbf53d-9d09-4e77-99a8-6a4fb2e71770"",""f642fb4d-eedd-47f5-834c-8629cdd4078f""]","/product-categories/boot-boxes-%26-transitions",2025-11-30T03:50:38Z,,"PUBLISHED"
"Vent Caps & Flashings",,,"96b74d10-db4e-4f6a-a090-bc4176dfd450",2025-11-30T03:51:19Z,2025-11-30T04:06:10Z,"9af21d4e-2c70-4ca7-ba14-ceb25a4ffc80","[""03053dba-65a7-4cba-ae33-4c03f60abaf9"",""1a757d64-fec4-4145-bdab-b0b317ca54b1"",""2153fd85-4f30-410a-a122-c682d11d0de2"",""5cdf2a6c-57ca-485f-acfc-8e90940c1a7b"",""72ce646c-8abd-44d7-8934-0e67adb93605""]","/product-categories/vent-caps-%26-flashings",2025-11-30T03:50:38Z,,"PUBLISHED"
"Duct Components",,,"9e60a4e8-1fa0-424b-8df1-cc394efa6e3e",2025-11-30T03:51:41Z,2025-11-30T04:06:10Z,"9af21d4e-2c70-4ca7-ba14-ceb25a4ffc80","[""329b906f-46e9-4d6b-a731-940e691395d5"",""34042786-89ef-4c50-84aa-844b5555292a"",""8397bf35-28b2-41e9-a5bb-abad2ca85007"",""f79c7adf-facd-4d75-9753-b48ad6e29efe""]","/product-categories/duct-components",2025-11-30T03:50:38Z,,"PUBLISHED"
"Flex Duct",,,"9f5b96cb-e3b3-4158-b1e0-c42a25aaf893",2025-11-30T03:52:00Z,2025-11-30T04:06:10Z,"9af21d4e-2c70-4ca7-ba14-ceb25a4ffc80","[""d97c386c-9864-4ed5-a3e1-c2cba5207d47"",""804b1fe3-0d3e-46ce-aa99-08f1ac8062e6"",""55f84fab-8b1b-4a68-994c-e32dca1ce7f7""]","/product-categories/flex-duct",2025-11-30T03:50:38Z,,"PUBLISHED"
"Connectors & Hardware",,,"a3a56b0f-8b8b-4576-8628-2ac5e51d8000",2025-11-30T03:51:51Z,2025-11-30T04:06:10Z,"9af21d4e-2c70-4ca7-ba14-ceb25a4ffc80","[""3e2b287c-817f-4d8a-9b5b-fc5f4d052dc1"",""42355420-fe51-46aa-b0bd-daddecf3cd13"",""5394544e-b32c-4a9e-b7cf-802108679c4d"",""5958eab1-28f7-4d25-9194-2fcb4df277c2"",""aba536be-c397-423e-a1eb-ada838965f77"",""e44f3cfa-c3b0-42b4-8c43-06a38b4c2c0d"",""e45633bd-0dc1-471f-9fff-6f6f900a2bc1""]","/product-categories/connectors-%26-hardware",2025-11-30T03:50:38Z,,"PUBLISHED"
"Airflow Control & Dampers",,,"b98eb550-97aa-44d1-b9a7-a55edece17bf",2025-11-30T03:52:06Z,2025-11-30T04:06:10Z,"9af21d4e-2c70-4ca7-ba14-ceb25a4ffc80","[""5ae9151f-a8c9-46c9-8efd-3aedd073b367"",""724a555e-8388-43df-a301-b198913b4742""]","/product-categories/airflow-control-%26-dampers",2025-11-30T03:50:38Z,,"PUBLISHED"
"MEZ Flange System",,,"bdbfc4f5-7584-476b-a45b-644131e935d1",2025-11-30T03:51:45Z,2025-11-30T04:06:10Z,"9af21d4e-2c70-4ca7-ba14-ceb25a4ffc80","[""3c0468e6-8eee-49c8-980d-2f8d55abc3f8""]","/product-categories/mez-flange-system",2025-11-30T03:50:38Z,,"PUBLISHED"
"Pipe & Riser Components",,,"c7be793f-e3e9-441f-853a-3a8e2b3c7fb3",2025-11-30T03:52:18Z,2025-11-30T04:06:10Z,"9af21d4e-2c70-4ca7-ba14-ceb25a4ffc80","[""8cc5b15c-b87d-4cdd-b907-35bc4351c481"",""98502278-e9ce-405c-8b25-6c040b3d6943"",""c9855ad2-1b04-41d5-98a5-5eb938f5e389""]","/product-categories/pipe-%26-riser-components",2025-11-30T03:50:38Z,,"PUBLISHED"
