"Status","Title","Multi-Reference","Image","Rich Content","Additional Info","Additional Info Copy","Product List (List)","Product List (Item)","ProductCategories_multireference","ID","Created Date","Updated Date","Owner","Publish Date","Unpublish Date"
"PUBLISHED","Riser Elbow 90˚ (flat)","[""80d1bbaf-43f0-403f-a858-2ee082098f76"",""5928bc38-88d9-4182-96d6-8d38fb150696"",""b0ef96bc-dce6-4620-af20-612d25e447de"",""a322afd8-4b4b-47cd-a44a-eac6408eff34""]","wix:image://v1/9af21d_2d55a10ead6d4b018915c2173a217e90~mv2.jpg/unnamed.jpg#originWidth=418&originHeight=548","{""nodes"":[{""paragraphData"":{""textStyle"":{""textAlignment"":""CENTER""}},""style"":{},""id"":""lxpw16935"",""nodes"":[{""type"":""TEXT"",""id"":"""",""nodes"":[],""textData"":{""text"":""Other sizes available upon request."",""decorations"":[]}}],""type"":""PARAGRAPH""}],""documentStyle"":{}}","Other sizes available upon request
",,"/product-list/","/product-list/riser-elbow-90%CB%9A-(flat)","[""3657abb4-bd68-4e1d-8c17-86ad7773ead4""]","028176f5-d47e-4f9e-8d1c-273c16348fe2",2025-11-06T00:55:24Z,2025-11-07T05:15:43Z,"9af21d4e-2c70-4ca7-ba14-ceb25a4ffc80",2025-11-05T23:46:58Z,
"PUBLISHED","Combustion Vent Cap
","[""44e6eabf-827d-4419-89c5-6e11249ed70f"",""cbf2fc83-d0fc-4aec-b540-6c8b2b64b68e"",""d8f54c36-e91e-4336-b1a1-b322ae9563fe"",""083db688-c5f5-4a07-98a3-19085be5447f"",""3b639821-f240-45f9-9db4-652aa5af7758"",""460292be-470c-417e-b2c3-5a20b0156cda""]","wix:image://v1/9af21d_281f3684bfae4dbdbc5796d90194d086~mv2.png/unnamed.png#originWidth=715&originHeight=588",,,,"/product-list/","/product-list/combustion-vent-cap-","[""96b74d10-db4e-4f6a-a090-bc4176dfd450""]","03053dba-65a7-4cba-ae33-4c03f60abaf9",2025-11-07T05:24:32Z,2025-11-07T05:24:46Z,"9af21d4e-2c70-4ca7-ba14-ceb25a4ffc80",2025-11-07T04:24:37Z,
"PUBLISHED","Straight Boot Box","[""4c9a72a6-5c52-4984-b72f-723cdc8ab9bd"",""14cbe462-9c11-44f6-b769-a2be42e10672"",""882f772c-2fbb-4a45-9553-053d20b236c0"",""c9a154a6-56c7-475f-b07f-bdf6218370ae"",""d3f73535-45a5-4e3e-aecf-2d8d2dec1630"",""e56bbdb1-5487-4149-a7e3-a3de86dd5b93"",""043f57ef-2ce8-4183-8537-0ffd3059e098"",""4db0ef60-80b6-4ca4-b353-9f6efaefbf55"",""502a0406-8973-4be8-b21d-82ffb611b14d"",""23fba965-1dc1-4606-9d45-266b332f1d5b"",""4e8d8257-e81d-426a-a18d-e31c2da61c0a"",""48e4efd7-10ea-4722-ac37-2bb39f56ca3f""]","wix:image://v1/9af21d_361f26384eb24c3bbb4539c6239d03b1~mv2.jpg/unnamed.jpg#originWidth=429&originHeight=519",,,,"/product-list/","/product-list/straight-boot-box","[""66bc596e-6594-46ec-873b-fbb6f227aba1""]","06fa2d51-b779-4c23-9bb0-e74793e1fc6b",2025-11-06T00:24:34Z,2025-11-07T05:13:22Z,"9af21d4e-2c70-4ca7-ba14-ceb25a4ffc80",2025-11-05T23:46:58Z,
"PUBLISHED","Boot Box","[""e870414e-0836-4491-9980-85cca67d36ae"",""dd5ab14a-3265-4a28-8ec7-b61091a72f28"",""13dadd6a-4362-408d-afdf-921516ef6207"",""d0774b96-86b6-4eaf-8ceb-9d1a9c5f5d3d"",""415577f1-0485-401f-beb9-0a34e5aec229"",""1260d04e-8c67-41d0-bf5f-7a028b538870"",""dbc8e802-186f-4b6c-b384-e8ec6015a91d"",""903f7a15-5e6f-4e8b-836c-35b6570bac1f"",""0a6001c3-697d-4ae7-aed6-cadc487802aa"",""68423b7e-815d-49f0-965c-01091bd8f25c"",""17586ac3-04bd-4fe7-b99d-fc4aac840b7a"",""68e1f371-7726-40a3-ab38-6bdbc95f5751"",""f176d6ff-9b9c-45b5-9a01-e11f8409d771"",""13e86730-2cb8-4d15-9599-cae27f05c4a0"",""81d6a52a-cd6f-4c81-829e-19301d33d43c"",""d3bf247d-ea0d-4159-9fd4-a34dcc0c24d6"",""61801f15-8118-491d-9aa3-9fa2486901a3"",""1b0bc18a-7436-4127-938e-86f212d609af"",""2eff9012-ea03-4737-89f0-656e180d4670"",""2e429734-c645-45e3-9ba2-9196916bb9b3"",""c887fcda-58ab-4fc2-881c-8b079c2c25c1""]","wix:image://v1/9af21d_f0f5474fffe846a097b580f7650aab7f~mv2.jpg/unnamed.jpg#originWidth=452&originHeight=398",,,,"/product-list/","/product-list/boot-box","[""66bc596e-6594-46ec-873b-fbb6f227aba1""]","0b6e3a1d-75dc-4b9e-9984-112708c2d64b",2025-11-06T00:22:24Z,2025-11-07T05:13:22Z,"9af21d4e-2c70-4ca7-ba14-ceb25a4ffc80",2025-11-05T23:46:58Z,
"PUBLISHED","Flashing","[""56b0c8a3-84ae-46ef-a7fd-4afda2f9589c"",""6af57130-7ed2-4140-b634-546dbf8cb5fd"",""46d69114-daa3-45a8-ab54-de585639b69d"",""55acf75a-8a98-4605-ad9c-d40d9008ba0a"",""cb4653cd-5e9d-4c4c-99b9-cc942fd3e62e"",""1b453275-2988-4acd-8916-7880a23156e2"",""f36dc22d-8dbf-4a05-91d8-827c81e6c757"",""4308d57b-cf86-4a5d-a9dc-b2d14d2159d4"",""93d44004-756d-4fd8-8adc-e4fbc11ed721"",""d61167e5-281d-4c7b-990f-b45ba4a0caa8"",""18dc9d42-1232-4a9e-b227-ccc74803bbd2"",""8144f8f2-80af-4002-a43e-4d184994e22c"",""032d0cb6-3bbc-42d5-8d65-d4a60f71c058""]","wix:image://v1/9af21d_cc73ec15fb984d17a732d5986aea3450~mv2.jpg/unnamed.jpg#originWidth=583&originHeight=396",,,,"/product-list/","/product-list/flashing","[""96b74d10-db4e-4f6a-a090-bc4176dfd450""]","1a757d64-fec4-4145-bdab-b0b317ca54b1",2025-11-06T00:59:11Z,2025-11-07T05:13:22Z,"9af21d4e-2c70-4ca7-ba14-ceb25a4ffc80",2025-11-05T23:46:58Z,
"PUBLISHED","China Cap","[""08f8b92a-2b47-41e5-b875-fc926f39da74"",""faa572d0-dab1-491b-9d8e-ba6f21b16f93"",""26413e80-bb7b-42e3-9e5c-f65183051cf0"",""cc5456d8-d6da-455d-9c8c-b21245b567d3"",""e46f8154-1177-42de-8f6b-9deced58d22a""]","wix:image://v1/9af21d_0d46900b746541b1b570b54e4f8512b7~mv2.jpg/unnamed.jpg#originWidth=551&originHeight=444",,,,"/product-list/","/product-list/china-cap","[""96b74d10-db4e-4f6a-a090-bc4176dfd450""]","2153fd85-4f30-410a-a122-c682d11d0de2",2025-11-06T00:56:28Z,2025-11-07T05:13:22Z,"9af21d4e-2c70-4ca7-ba14-ceb25a4ffc80",2025-11-05T23:46:58Z,
"PUBLISHED","Elbow 90˚","[""ba083374-0b45-42c6-81fb-d10e4d3d7703"",""ddfe77af-8931-47c2-a986-875e95e0a8de"",""1722c61b-299c-4424-a41d-af8a771c401c"",""5c3a1890-4aca-47d8-b9b1-d0ca2a8a99a3"",""70b17e51-6a11-4a36-a07d-94ec62555c34"",""6d19c6cb-9106-478d-8420-df62fd868252"",""6ac49c5a-e635-4a13-a4bd-30daf3ce9150"",""8aabb206-e4ea-4fa2-87dd-73cd062ed3b9"",""e466fe73-52a3-4de3-8093-18b01cfed1bf"",""7158fa95-494d-4bec-b595-a67219b91116"",""40f467bc-0b32-43e3-9066-94a924d816d0"",""6acf1c49-d2d7-4ed5-9aa8-128017785f90"",""560ad23f-5fd8-4e51-8cc7-eca19c21fe2a"",""3be97250-90dc-414c-b5e4-c485b5faf677"",""ba3d267f-7c8c-4f6c-bc85-4542904c8417""]","wix:image://v1/9af21d_c6eeee3bc9fc4e32b8ab247cc64f2198~mv2.jpg/unnamed.jpg#originWidth=501&originHeight=507","{""nodes"":[{""paragraphData"":{""textStyle"":{""textAlignment"":""CENTER""}},""style"":{},""id"":""lxpw16935"",""nodes"":[{""type"":""TEXT"",""id"":"""",""nodes"":[],""textData"":{""text"":""Other sizes available upon request."",""decorations"":[]}},{""type"":""TEXT"",""id"":"""",""nodes"":[],""textData"":{""text"":""\n"",""decorations"":[]}},{""type"":""TEXT"",""id"":"""",""nodes"":[],""textData"":{""text"":""\n"",""decorations"":[]}},{""type"":""TEXT"",""id"":"""",""nodes"":[],""textData"":{""text"":""Spot elbows and long radius also available."",""decorations"":[]}}],""type"":""PARAGRAPH""}],""documentStyle"":{}}","Other sizes available upon request
","Spot elbows and long radius also available","/product-list/","/product-list/elbow-90%CB%9A","[""3657abb4-bd68-4e1d-8c17-86ad7773ead4""]","29c26927-e0b6-4a78-93b4-e6f78e8a694b",2025-11-05T23:51:00Z,2025-11-07T05:14:54Z,"9af21d4e-2c70-4ca7-ba14-ceb25a4ffc80",2025-11-05T23:46:58Z,
"PUBLISHED","Plenum","[""a764dd8a-9cb8-43f2-9d52-536de9d50dc1"",""ee910a8f-9998-4dcd-babb-80da517ff65e"",""46135811-2515-4d75-b548-c018b7d80e9c"",""c44cc33c-dfee-46b4-9943-11155339cb9b"",""d3653465-e8cf-449e-814f-fd44a120c1a5"",""241598a3-e87d-46bf-9b63-d48c67d1533b""]","wix:image://v1/9af21d_c8f73f874fe34179a64e5e805d1a3993~mv2.jpg/unnamed.jpg#originWidth=470&originHeight=383","{""nodes"":[{""type"":""PARAGRAPH"",""id"":""foo"",""nodes"":[{""type"":""TEXT"",""id"":"""",""nodes"":[],""textData"":{""text"":""Please use Plenum Data Sheet at the end of this section for custom orders."",""decorations"":[{""type"":""BOLD"",""fontWeightValue"":700},{""type"":""COLOR"",""colorData"":{""background"":""transparent"",""foreground"":""rgb(0, 0, 0)""}}]}}],""paragraphData"":{""textStyle"":{""textAlignment"":""CENTER""},""indentation"":0}}],""documentStyle"":{}}",,,"/product-list/","/product-list/plenum","[""0ebcc58d-5925-4824-a8c7-7d0c87abb6da""]","2c853c20-e554-4e40-9fb1-93456201698c",2025-11-07T05:19:49Z,2025-11-07T05:20:29Z,"9af21d4e-2c70-4ca7-ba14-ceb25a4ffc80",2025-11-07T04:24:37Z,
"PUBLISHED","Twist Collar w/Damper & Scoop","[""e842d8be-b40a-44bc-99db-cc22864992fd"",""a83a75fc-5fb8-42e4-b40c-9e41bfc6bd2f"",""ac73c8e9-5e81-4591-b22d-0996eab14364"",""7bdb652b-d10c-4e17-8b16-55970e2b69a4"",""9b2750a0-051a-4512-8891-6f47fbf0a9a5"",""019e2282-f161-4ad2-9af4-fedb4a85cc4c"",""37894aa4-f088-4c39-b05c-a22cbd748358"",""506dd365-def3-418a-93a5-a869136939af""]","wix:image://v1/9af21d_dac4bb8f5ffa45e98a2dadb76fb23f9d~mv2.jpg/unnamed.jpg#originWidth=578&originHeight=434","{""nodes"":[{""paragraphData"":{""textStyle"":{""textAlignment"":""CENTER""}},""style"":{},""id"":""lxpw16935"",""nodes"":[{""type"":""TEXT"",""id"":"""",""nodes"":[],""textData"":{""text"":""Other sizes available upon request."",""decorations"":[]}}],""type"":""PARAGRAPH""}],""documentStyle"":{}}","Other sizes available upon request
",,"/product-list/","/product-list/twist-collar-w%2Fdamper-%26-scoop","[""4a837012-97fb-4d8e-8e32-719924f903a9""]","301caa5f-a0a4-4f68-b880-9f60c0eb8e8e",2025-11-06T00:19:37Z,2025-11-07T05:15:22Z,"9af21d4e-2c70-4ca7-ba14-ceb25a4ffc80",2025-11-05T23:46:58Z,
"PUBLISHED","Register Box","[""d935655f-ac04-4399-b90c-de12861c3890"",""fb6f2332-41ca-41e2-9287-9d0b03261e32"",""56b6f0fc-7940-4a61-8b66-847566cc454d"",""c3dc6237-6a48-487e-9abd-dd34a168fdfd"",""36a97aba-7232-4aa4-a75c-3bcf612766a8"",""c9dbc436-f7af-4d0c-892b-a4439ab239ee"",""be702e02-cd2a-440f-94a8-a53ba867606d"",""e9196e93-4b8c-4e8d-a441-1b05787e8a4b""]","wix:image://v1/9af21d_37cd500976124ff2b4e757462431bb4e~mv2.jpg/unnamed.jpg#originWidth=377&originHeight=559",,,,"/product-list/","/product-list/register-box","[""66bc596e-6594-46ec-873b-fbb6f227aba1""]","303c640b-d74f-4807-9b19-789a7dfe62c7",2025-11-06T00:26:48Z,2025-11-07T05:13:22Z,"9af21d4e-2c70-4ca7-ba14-ceb25a4ffc80",2025-11-05T23:46:58Z,
