"Status","SKU","Product Description","Cost","ProductList_multireference","Item name","Details","Details 2","link-sku-all","Image","ID","Created Date","Updated Date","Owner","link-sku-all","Publish Date","Unpublish Date","Publish Date","Unpublish Date"
"PUBLISHED","1405 -TC08","TWIST COLLAR 8""","4.75","[""a6851270-a971-48c3-b357-336385d043ad""]","Twist Collar/Spin-In Collar",,,,,"0022a684-bdb0-4e7b-9c0d-5772bb4e30b8",2025-11-07T05:25:12Z,2025-11-07T05:39:36Z,"9af21d4e-2c70-4ca7-ba14-ceb25a4ffc80",,,,2025-11-07T05:25:13Z,
"PUBLISHED","1400-DTC24","DOVE TAIL COLLAR 24""","7.61","[""3df1cd56-a6ce-4a6c-a136-16f0ab189eec""]","Dove Tail Collar",,,,,"00401151-49ef-4431-b354-67e377f60a7b",2025-11-07T05:25:12Z,2025-11-07T05:39:42Z,"9af21d4e-2c70-4ca7-ba14-ceb25a4ffc80",,,,2025-11-07T05:25:13Z,
"PUBLISHED","1035-WAF0610R6","WRAPPED ALUMINUM FLEX, 10"" X 6' R-6","27.1","[""55f84fab-8b1b-4a68-994c-e32dca1ce7f7""]","Wrapped Aluminum Flex  w/ Metalized Jacket R-6 ( Male / Female Snap Lock Collars)",,,,"wix:image://v1/9af21d_70f655c85998443483c46c3d04b266fc~mv2.jpg/unnamed.jpg#originWidth=420&originHeight=549","00476df5-9c18-4a77-ab4b-e1a87d91baf5",2025-10-30T04:49:55Z,2025-11-07T05:25:13Z,"9af21d4e-2c70-4ca7-ba14-ceb25a4ffc80",,2025-10-30T04:49:55Z,,,
"PUBLISHED","1035-WAF0620R6","WRAPPED ALUMINUM FLEX, 20"" X 6' R-6","63.4","[""55f84fab-8b1b-4a68-994c-e32dca1ce7f7""]","Wrapped Aluminum Flex  w/ Metalized Jacket R-6 ( Male / Female Snap Lock Collars)",,,,"wix:image://v1/9af21d_70f655c85998443483c46c3d04b266fc~mv2.jpg/unnamed.jpg#originWidth=420&originHeight=549","004fef7a-d9f0-465b-9e43-c58bf424612e",2025-10-30T04:49:55Z,2025-11-07T05:25:13Z,"9af21d4e-2c70-4ca7-ba14-ceb25a4ffc80",,2025-10-30T04:49:55Z,,,
"PUBLISHED","1407 -TCDS07","TWIST COLLAR 7"" W/ DAMPER & SCOOP","9.92","[""301caa5f-a0a4-4f68-b880-9f60c0eb8e8e""]","Twist Collar w/Damper & Scoop",,,,,"019e2282-f161-4ad2-9af4-fedb4a85cc4c",2025-11-07T05:25:12Z,2025-11-07T05:39:12Z,"9af21d4e-2c70-4ca7-ba14-ceb25a4ffc80",,,,2025-11-07T05:25:13Z,
"PUBLISHED","1310 -PT28G0806","PANCAKE TAPER, 8"" X 6"" 26GA","6.25","[""c70b8647-180f-47f3-b7ba-12b6eada5686""]","Pancake Taper (Cookie Cutter)",,,,,"022660f6-9e2a-4c5b-bcf5-979d049efdab",2025-11-07T05:25:12Z,2025-11-07T05:40:55Z,"9af21d4e-2c70-4ca7-ba14-ceb25a4ffc80",,,,2025-11-07T05:25:13Z,
"PUBLISHED","1200-Y26G100808","WYE, 10"" X 8"" X 8"" 26GA","10.88","[""7ef5f423-9243-4404-b001-fced162c3644""]","Tee Wye",,,,,"02460b77-06c2-45dc-b067-897d852303ce",2025-11-07T05:25:13Z,2025-11-07T05:41:27Z,"9af21d4e-2c70-4ca7-ba14-ceb25a4ffc80",,,,2025-11-07T05:25:13Z,
"PUBLISHED","2800-F06","FLASHING 6""","13.27","[""1a757d64-fec4-4145-bdab-b0b317ca54b1""]","Flashing",,,,,"032d0cb6-3bbc-42d5-8d65-d4a60f71c058",2025-11-07T05:25:12Z,2025-11-07T05:34:19Z,"9af21d4e-2c70-4ca7-ba14-ceb25a4ffc80",,,,2025-11-07T05:25:13Z,
"PUBLISHED","8000-HS24G1001.5","HANGER STRAP, 1 1/2"" X 10' 20GA","2.25","[""e45633bd-0dc1-471f-9fff-6f6f900a2bc1""]","Hanger Strap",,,,,"03715b09-7c31-4e46-9736-4de7436b3e85",2025-11-07T05:25:12Z,2025-11-07T05:32:12Z,"9af21d4e-2c70-4ca7-ba14-ceb25a4ffc80",,,,2025-11-07T05:25:13Z,
"PUBLISHED","1420-JD16","JIFFY DAMPER 16"" 24GA","7.65",,"Jiffy Damper",,,,,"03abaf59-d689-4623-afed-e9b7741e584d",2025-11-07T05:25:12Z,2025-11-07T05:40:10Z,"9af21d4e-2c70-4ca7-ba14-ceb25a4ffc80",,,,2025-11-07T05:25:13Z,
"PUBLISHED","1405 -TC16","TWIST COLLAR 16""","12.23","[""a6851270-a971-48c3-b357-336385d043ad""]","Twist Collar/Spin-In Collar",,,,,"03b1df9c-2062-4ca9-8664-29471f45caed",2025-11-07T05:25:12Z,2025-11-07T05:39:36Z,"9af21d4e-2c70-4ca7-ba14-ceb25a4ffc80",,,,2025-11-07T05:25:13Z,
"PUBLISHED","1030-BAF0606","BARE ALUMINUM FLEX, 6"" X 6'","11.37","[""804b1fe3-0d3e-46ce-aa99-08f1ac8062e6""]","Bare Aluminum Flex ( Male / Female Snap Lock Collars)",,,,"wix:image://v1/9af21d_acece8cf814f42be8a272049caf74670~mv2.jpg/unnamed.jpg#originWidth=439&originHeight=477","03ef864c-3fb3-4ffa-b7ae-b75c969354fd",2025-10-30T04:49:55Z,2025-11-07T05:25:13Z,"9af21d4e-2c70-4ca7-ba14-ceb25a4ffc80",,2025-10-30T04:49:55Z,,,
"PUBLISHED","2130-STB1206","STRAIGHT BOOT, 12"" X 6""","3.8","[""06fa2d51-b779-4c23-9bb0-e74793e1fc6b""]","Straight Boot Box",,,,,"043f57ef-2ce8-4183-8537-0ffd3059e098",2025-11-07T05:25:12Z,2025-11-07T05:38:13Z,"9af21d4e-2c70-4ca7-ba14-ceb25a4ffc80",,,,2025-11-07T05:25:13Z,
"PUBLISHED","1050-SP26G7.510","SPIRAL PIPE, 10"" X 7 1/2' 26GA","30.04","[""6205678e-93f4-429d-9123-e51eb3af4c27""]","Spiral Pipe 7’ 5”",,,,"wix:image://v1/9af21d_985028d2ca9f4092a498f163fdbb0d80~mv2.jpg/unnamed.jpg#originWidth=445&originHeight=288","044df36b-bd39-43e3-a737-634c5b8feb19",2025-10-30T04:49:55Z,2025-11-07T05:25:13Z,"9af21d4e-2c70-4ca7-ba14-ceb25a4ffc80",,2025-10-30T04:49:55Z,,,
"PUBLISHED","1300 -RED0908","REDUCER SURE FIT 9"" X 8"" 3-PC","6.91","[""4fb1dc79-37b7-49df-a986-9e4a773ae942""]","Reducer Sure Fit",,,,,"049f9b5a-5fd3-4310-af93-3f49a2bfacfe",2025-11-07T05:25:13Z,2025-11-07T05:41:07Z,"9af21d4e-2c70-4ca7-ba14-ceb25a4ffc80",,,,2025-11-07T05:25:13Z,
"PUBLISHED","1310 -PT26G1008","PANCAKE TAPER, 10"" X 8"" 26GA","6.97","[""c70b8647-180f-47f3-b7ba-12b6eada5686""]","Pancake Taper (Cookie Cutter)",,,,,"04bce225-7611-4114-98d3-7495732bc379",2025-11-07T05:25:12Z,2025-11-07T05:40:55Z,"9af21d4e-2c70-4ca7-ba14-ceb25a4ffc80",,,,2025-11-07T05:25:13Z,
